Entity,Code,Date,Total_tests_per_thousand,Total_tests_per_million,Number_of_tests_per_confirmed_case
Argentina,ARG,"Apr 8, 2020",0.295,295.000,7.773
Argentina,ARG,"Apr 9, 2020",0.329,329.000,8.273
Argentina,ARG,"Apr 10, 2020",0.362,362.000,8.648
Argentina,ARG,"Apr 11, 2020",0.399,399.000,9.128
Argentina,ARG,"Apr 13, 2020",0.437,437.000,8.969
Argentina,ARG,"Apr 14, 2020",0.505,505.000,10.037
Argentina,ARG,"Apr 15, 2020",0.539,539.000,10.022
Argentina,ARG,"Apr 16, 2020",0.585,585.000,10.879
Argentina,ARG,"Apr 17, 2020",0.634,634.000,11.191
Argentina,ARG,"Apr 18, 2020",0.685,685.000,11.641
Argentina,ARG,"Apr 19, 2020",0.724,724.000,11.567
Argentina,ARG,"Apr 20, 2020",0.765,765.000,11.798
Argentina,ARG,"Apr 21, 2020",0.81,810.00,12.123
Argentina,ARG,"Apr 22, 2020",0.868,868.000,12.525
Argentina,ARG,"Apr 23, 2020",0.925,925.000,12.755
Argentina,ARG,"Apr 24, 2020",0.988,988.000,13.045
Argentina,ARG,"Apr 25, 2020",1.049,1049.000,13.849
Argentina,ARG,"Apr 26, 2020",1.104,1104.000,13.248
Argentina,ARG,"Apr 27, 2020",1.148,1148.000,13.778
Argentina,ARG,"Apr 28, 2020",1.186,1186.000,13.434
Argentina,ARG,"Apr 29, 2020",1.24,1240.00,13.626
Argentina,ARG,"Apr 30, 2020",1.298,1298.000,13.737
Argentina,ARG,"May 1, 2020",1.361,1361.000,13.937
Argentina,ARG,"May 2, 2020",1.413,1413.000,14.133
Argentina,ARG,"May 3, 2020",1.456,1456.000,14.099
Argentina,ARG,"May 4, 2020",1.503,1503.000,14.239
Argentina,ARG,"May 5, 2020",1.543,1543.000,14.304
Argentina,ARG,"May 6, 2020",1.6,1600.0,14.443
Argentina,ARG,"May 7, 2020",1.664,1664.000,14.475
Argentina,ARG,"May 8, 2020",1.724,1724.000,14.539
Argentina,ARG,"May 9, 2020",1.786,1786.000,14.421
Argentina,ARG,"May 10, 2020",1.837,1837.000,14.405
Argentina,ARG,"May 11, 2020",1.884,1884.000,14.743
Argentina,ARG,"May 12, 2020",1.937,1937.000,14.54
Australia,AUS,"Mar 22, 2020",5.61,5610.00,130.288
Australia,AUS,"Mar 29, 2020",8.285,8285.000,55.464
Australia,AUS,"Apr 5, 2020",11.653,11653.000,52.251
Australia,AUS,"Apr 6, 2020",11.869,11869.000,52.692
Australia,AUS,"Apr 7, 2020",12.184,12184.000,53.166
Australia,AUS,"Apr 8, 2020",12.524,12524.000,53.621
Australia,AUS,"Apr 9, 2020",12.946,12946.000,54.55
Australia,AUS,"Apr 10, 2020",13.269,13269.000,54.998
Australia,AUS,"Apr 11, 2020",13.641,13641.000,55.763
Australia,AUS,"Apr 12, 2020",13.88,13880.00,56.279
Australia,AUS,"Apr 13, 2020",14.201,14201.000,57.282
Australia,AUS,"Apr 14, 2020",14.372,14372.000,57.57
Australia,AUS,"Apr 15, 2020",14.564,14564.000,57.883
Australia,AUS,"Apr 16, 2020",14.902,14902.000,58.842
Australia,AUS,"Apr 17, 2020",15.354,15354.000,60.263
Australia,AUS,"Apr 18, 2020",15.942,15942.000,62.224
Australia,AUS,"Apr 19, 2020",16.51,16510.00,63.923
Australia,AUS,"Apr 20, 2020",16.931,16931.000,65.296
Australia,AUS,"Apr 21, 2020",17.249,17249.000,66.391
Australia,AUS,"Apr 22, 2020",17.743,17743.000,68.067
Australia,AUS,"Apr 23, 2020",18.3,18300.0,70.132
Australia,AUS,"Apr 24, 2020",18.917,18917.000,72.352
Australia,AUS,"Apr 25, 2020",19.383,19383.000,73.913
Australia,AUS,"Apr 26, 2020",19.861,19861.000,75.556
Australia,AUS,"Apr 27, 2020",20.277,20277.000,77.024
Australia,AUS,"Apr 28, 2020",20.811,20811.000,78.911
Australia,AUS,"Apr 29, 2020",21.35,21350.00,80.797
Australia,AUS,"Apr 30, 2020",22.104,22104.000,83.552
Australia,AUS,"May 1, 2020",23.093,23093.000,87.085
Australia,AUS,"May 2, 2020",23.984,23984.000,90.377
Australia,AUS,"May 3, 2020",24.828,24828.000,93.337
Australia,AUS,"May 4, 2020",25.499,25499.000,95.606
Australia,AUS,"May 5, 2020",26.069,26069.000,97.4
Australia,AUS,"May 6, 2020",27.006,27006.000,100.548
Australia,AUS,"May 7, 2020",28.335,28335.000,105.098
Australia,AUS,"May 8, 2020",29.696,29696.000,109.81
Australia,AUS,"May 9, 2020",31.194,31194.000,115.05
