Entity,Code,Date,Total_tests_per_thousand,Total_tests_per_million,Number_of_tests_per_confirmed_case
United States,USA,"Jan 21, 2020",0,0,14
United States,USA,"Jan 22, 2020",0,0,24
United States,USA,"Jan 23, 2020",0,0,60
United States,USA,"Jan 24, 2020",0,0,113
United States,USA,"Jan 25, 2020",0.001,1.000,107
United States,USA,"Jan 26, 2020",0.001,1.000,146.5
United States,USA,"Jan 27, 2020",0.001,1.000,74
United States,USA,"Jan 28, 2020",0.001,1.000,87
United States,USA,"Jan 29, 2020",0.002,2.000,107.4
United States,USA,"Jan 30, 2020",0.002,2.000,158.6
United States,USA,"Jan 31, 2020",0.003,3.000,142.667
United States,USA,"Feb 1, 2020",0.004,4.000,167
United States,USA,"Feb 2, 2020",0.004,4.000,150.375
United States,USA,"Feb 3, 2020",0.004,4.000,121.364
United States,USA,"Feb 4, 2020",0.004,4.000,130
United States,USA,"Feb 5, 2020",0.005,5.000,139.818
United States,USA,"Feb 6, 2020",0.005,5.000,134.667
United States,USA,"Feb 7, 2020",0.005,5.000,142.417
United States,USA,"Feb 8, 2020",0.005,5.000,149
United States,USA,"Feb 9, 2020",0.006,6.000,152.583
United States,USA,"Feb 10, 2020",0.006,6.000,156
United States,USA,"Feb 11, 2020",0.006,6.000,151.846
United States,USA,"Feb 12, 2020",0.006,6.000,156.308
United States,USA,"Feb 13, 2020",0.006,6.000,148.929
United States,USA,"Feb 14, 2020",0.006,6.000,141.933
United States,USA,"Feb 15, 2020",0.007,7.000,145.733
United States,USA,"Feb 16, 2020",0.007,7.000,147.4
United States,USA,"Feb 17, 2020",0.007,7.000,149.8
United States,USA,"Feb 18, 2020",0.007,7.000,152.8
United States,USA,"Feb 19, 2020",0.007,7.000,157.6
United States,USA,"Feb 20, 2020",0.007,7.000,161.8
United States,USA,"Feb 21, 2020",0.008,8.000,167.688
United States,USA,"Feb 22, 2020",0.009,9.000,84.057
United States,USA,"Feb 23, 2020",0.009,9.000,86.086
United States,USA,"Feb 24, 2020",0.009,9.000,88.343
United States,USA,"Feb 25, 2020",0.01,10.00,59.66
United States,USA,"Feb 26, 2020",0.01,10.00,61.792
United States,USA,"Feb 27, 2020",0.011,11.000,59.085
United States,USA,"Feb 28, 2020",0.011,11.000,62.767
United States,USA,"Feb 29, 2020",0.013,13.000,62.742
United States,USA,"Mar 1, 2020",0.013,13.000,64.42
United States,USA,"Mar 2, 2020",0.015,15.000,57.573
United States,USA,"Mar 3, 2020",0.018,18.000,58.65
United States,USA,"Mar 4, 2020",0.022,22.000,59.032
United States,USA,"Mar 5, 2020",0.028,28.000,58.201
United States,USA,"Mar 6, 2020",0.034,34.000,48.528
United States,USA,"Mar 7, 2020",0.04,40.00,38.822
United States,USA,"Mar 8, 2020",0.045,45.000,34.721
United States,USA,"Mar 9, 2020",0.057,57.000,34.148
United States,USA,"Mar 10, 2020",0.07,70.00,30.716
United States,USA,"Mar 11, 2020",0.086,86.000,27.635
United States,USA,"Mar 12, 2020",0.108,108.000,27.228
United States,USA,"Mar 13, 2020",0.131,131.000,26.152
United States,USA,"Mar 14, 2020",0.152,152.000,23.121
United States,USA,"Mar 15, 2020",0.172,172.000,19.26
United States,USA,"Mar 16, 2020",0.209,209.000,18.371
United States,USA,"Mar 17, 2020",0.246,246.000,17.491
United States,USA,"Mar 18, 2020",0.28,280.00,14.427
United States,USA,"Mar 19, 2020",0.314,314.000,11.023
United States,USA,"Mar 20, 2020",0.346,346.000,8.039
United States,USA,"Mar 21, 2020",0.365,365.000,6.158
United States,USA,"Mar 22, 2020",0.382,382.000,4.724
United States,USA,"Mar 23, 2020",0.413,413.000,3.882
United States,USA,"Mar 24, 2020",0.444,444.000,3.164
United States,USA,"Mar 25, 2020",0.477,477.000,2.857
United States,USA,"Mar 26, 2020",0.512,512.000,2.45
United States,USA,"Mar 27, 2020",0.546,546.000,2.103
United States,USA,"Mar 28, 2020",0.57,570.00,1.802
United States,USA,"Mar 29, 2020",0.589,589.000,1.565
United States,USA,"Mar 30, 2020",0.627,627.000,1.451
United States,USA,"Mar 31, 2020",0.666,666.000,1.34
United States,USA,"Apr 1, 2020",0.705,705.000,1.23
United States,USA,"Apr 2, 2020",0.746,746.000,1.14
United States,USA,"Apr 3, 2020",0.789,789.000,1.063
United States,USA,"Apr 4, 2020",0.815,815.000,0.97
United States,USA,"Apr 5, 2020",0.838,838.000,0.888
United States,USA,"Apr 6, 2020",0.881,881.000,0.864
United States,USA,"Apr 7, 2020",0.923,923.000,0.83
United States,USA,"Apr 8, 2020",0.966,966.000,0.802
United States,USA,"Apr 9, 2020",1.005,1005.000,0.77
United States,USA,"Apr 10, 2020",1.047,1047.000,0.743
United States,USA,"Apr 11, 2020",1.069,1069.000,0.705
United States,USA,"Apr 12, 2020",1.081,1081.000,0.675
United States,USA,"Apr 13, 2020",1.12,1120.00,0.665
United States,USA,"Apr 14, 2020",1.159,1159.000,0.658
United States,USA,"Apr 15, 2020",1.2,1200.0,0.652
United States,USA,"Apr 16, 2020",1.242,1242.000,0.643
United States,USA,"Apr 17, 2020",1.291,1291.000,0.636
United States,USA,"Apr 18, 2020",1.318,1318.000,0.621
United States,USA,"Apr 19, 2020",1.34,1340.00,0.603
United States,USA,"Apr 20, 2020",1.391,1391.000,0.606
United States,USA,"Apr 21, 2020",1.446,1446.000,0.608
United States,USA,"Apr 22, 2020",1.51,1510.00,0.606
United States,USA,"Apr 23, 2020",1.58,1580.00,0.621
United States,USA,"Apr 24, 2020",1.657,1657.000,0.631
United States,USA,"Apr 25, 2020",1.706,1706.000,0.634
United States,USA,"Apr 26, 2020",1.733,1733.000,0.611
United States,USA,"Apr 27, 2020",1.806,1806.000,0.619
United States,USA,"Apr 28, 2020",1.882,1882.000,0.63
United States,USA,"Apr 29, 2020",1.958,1958.000,0.64
United States,USA,"Apr 30, 2020",2.035,2035.000,0.648
United States,USA,"May 1, 2020",2.11,2110.00,0.653
United States,USA,"May 2, 2020",2.146,2146.000,0.644
United States,USA,"May 3, 2020",2.168,2168.000,0.633
United States,USA,"May 4, 2020",2.237,2237.000,0.639
United States,USA,"May 5, 2020",2.312,2312.000,0.648
United States,USA,"May 6, 2020",2.377,2377.000,0.653
United States,USA,"May 7, 2020",2.436,2436.000,0.656
United States,USA,"May 8, 2020",2.481,2481.000,0.653
United States,USA,"May 9, 2020",2.492,2492.000,0.642
United States,USA,"May 10, 2020",2.492,2492.000,0.63
United States,USA,"May 11, 2020",2.492,2492.000,0.62
Spain,ESP,"Apr 13, 2020",19.896,19896.000,5.603
Spain,ESP,"Apr 23, 2020",22.148,22148.000,5.173
Spain,ESP,"Apr 30, 2020",28.898,28898.000,6.33
Spain,ESP,"May 7, 2020",34.76,34760.00,7.339
Russia,RUS,"Mar 5, 2020",0.318,318.000,11603.5
Russia,RUS,"Mar 6, 2020",0.352,352.000,12841.5
Russia,RUS,"Mar 7, 2020",0.382,382.000,5568.8
Russia,RUS,"Mar 8, 2020",0.411,411.000,5996
Russia,RUS,"Mar 9, 2020",0.433,433.000,6319.1
Russia,RUS,"Mar 11, 2020",0.484,484.000,7060.1
Russia,RUS,"Mar 12, 2020",0.527,527.000,3078.52
Russia,RUS,"Mar 14, 2020",0.65,650.00,2107.822
Russia,RUS,"Mar 15, 2020",0.719,719.000,1777.678
Russia,RUS,"Mar 16, 2020",0.753,753.000,1745.063
Russia,RUS,"Mar 17, 2020",0.795,795.000,1247.968
Russia,RUS,"Mar 18, 2020",0.842,842.000,1077.667
Russia,RUS,"Mar 19, 2020",0.912,912.000,905.449
Russia,RUS,"Mar 20, 2020",0.983,983.000,721.201
Russia,RUS,"Mar 21, 2020",1.069,1069.000,616.664
Russia,RUS,"Mar 22, 2020",1.121,1121.000,534.408
Russia,RUS,"Mar 23, 2020",1.136,1136.000,378.475
Russia,RUS,"Mar 24, 2020",1.274,1274.000,424.47
Russia,RUS,"Mar 25, 2020",1.321,1321.000,389.543
Russia,RUS,"Mar 26, 2020",1.352,1352.000,299.774
Russia,RUS,"Mar 27, 2020",1.532,1532.000,266.082
