tpm_tpc
full-list-daily-covid-19-tests-per-thousand,,,,,
Entity,Code,Date,New tests per thousand,NTPM,TPCC
Argentina,ARG,"Apr 9, 2020",0.034,34.000,8.273
Argentina,ARG,"Apr 10, 2020",0.034,34.000,8.648
Argentina,ARG,"Apr 11, 2020",0.036,36.000,9.128
Argentina,ARG,"Apr 14, 2020",0.067,67.000,10.037
Argentina,ARG,"Apr 15, 2020",0.035,35.000,10.022
Argentina,ARG,"Apr 16, 2020",0.046,46.000,10.879
Argentina,ARG,"Apr 17, 2020",0.049,49.000,11.191
Argentina,ARG,"Apr 18, 2020",0.051,51.000,11.641
Argentina,ARG,"Apr 19, 2020",0.039,39.000,11.567
Argentina,ARG,"Apr 20, 2020",0.041,41.000,11.798
Argentina,ARG,"Apr 21, 2020",0.045,45.000,12.123
Argentina,ARG,"Apr 22, 2020",0.058,58.000,12.525
Argentina,ARG,"Apr 23, 2020",0.057,57.000,12.755
Argentina,ARG,"Apr 24, 2020",0.063,63.000,13.045
Argentina,ARG,"Apr 25, 2020",0.061,61.000,13.849
Argentina,ARG,"Apr 26, 2020",0.055,55.000,13.248
Argentina,ARG,"Apr 27, 2020",0.044,44.000,13.778
Argentina,ARG,"Apr 28, 2020",0.038,38.000,13.434
Argentina,ARG,"Apr 29, 2020",0.054,54.000,13.626
Argentina,ARG,"May 1, 2020",0.063,63.000,13.292
Australia,AUS,"Apr 6, 2020",0.216,216.000,52.692
Australia,AUS,"Apr 7, 2020",0.315,315.000,53.166
Australia,AUS,"Apr 8, 2020",0.34,340.00,53.621
Australia,AUS,"Apr 9, 2020",0.422,422.000,54.55
Australia,AUS,"Apr 10, 2020",0.322,322.000,54.998
Australia,AUS,"Apr 11, 2020",0.373,373.000,55.763
Australia,AUS,"Apr 12, 2020",0.239,239.000,56.279
Australia,AUS,"Apr 13, 2020",0.321,321.000,57.282
Australia,AUS,"Apr 14, 2020",0.171,171.000,57.57
Australia,AUS,"Apr 15, 2020",0.192,192.000,57.883
Australia,AUS,"Apr 17, 2020",0.452,452.000,60.263
Australia,AUS,"Apr 18, 2020",0.587,587.000,62.224
Australia,AUS,"Apr 19, 2020",0.568,568.000,63.923
Australia,AUS,"Apr 20, 2020",0.421,421.000,65.296
Australia,AUS,"Apr 21, 2020",0.318,318.000,66.391
Australia,AUS,"Apr 22, 2020",0.494,494.000,68.067
Australia,AUS,"Apr 23, 2020",0.558,558.000,70.132
Australia,AUS,"Apr 24, 2020",0.616,616.000,72.352
Australia,AUS,"Apr 25, 2020",0.466,466.000,73.913
Australia,AUS,"Apr 26, 2020",0.478,478.000,75.556
Australia,AUS,"Apr 27, 2020",0.416,416.000,77.024
Australia,AUS,"Apr 28, 2020",0.534,534.000,78.911
Australia,AUS,"Apr 29, 2020",0.538,538.000,80.797
Australia,AUS,"Apr 30, 2020",0.754,754.000,83.552
Australia,AUS,"May 1, 2020",0.989,989.000,87.085
Australia,AUS,"May 2, 2020",0.891,891.000,90.377
Australia,AUS,"May 3, 2020",0.844,844.000,93.337
Australia,AUS,"May 4, 2020",0.671,671.000,95.606
Australia,AUS,"May 5, 2020",0.57,570.00,97.4
Australia,AUS,"May 6, 2020",0.937,937.000,100.548
Australia,AUS,"May 7, 2020",1.329,1329.000,105.098
India,IND,"Mar 20, 2020",0.001,1.000,75.267
India,IND,"Mar 21, 2020",0.001,1.000,67.97
India,IND,"Mar 22, 2020",0.001,1.000,53.122
India,IND,"Mar 23, 2020",0.003,3.000,47.169
India,IND,"Mar 25, 2020",0.003,3.000,44.74
India,IND,"Apr 3, 2020",0.015,15.000,30.093
India,IND,"Apr 4, 2020",0.008,8.000,27.55
India,IND,"Apr 5, 2020",0.007,7.000,26.536
India,IND,"Apr 6, 2020",0.008,8.000,24.851
India,IND,"Apr 7, 2020",0.009,9.000,25.789
India,IND,"Apr 8, 2020",0.01,10.00,24.628
India,IND,"Apr 9, 2020",0.012,12.000,25.272
India,IND,"Apr 10, 2020",0.012,12.000,25.161
India,IND,"Apr 11, 2020",0.013,13.000,24.087
India,IND,"Apr 12, 2020",0.012,12.000,23.426
India,IND,"Apr 13, 2020",0.016,16.000,23.771
India,IND,"Apr 14, 2020",0.02,20.00,23.631
India,IND,"Apr 15, 2020",0.022,22.000,24.008
India,IND,"Apr 16, 2020",0.021,21.000,24.471
India,IND,"Apr 17, 2020",0.023,23.000,25.033
India,IND,"Apr 18, 2020",0.027,27.000,25.881
India,IND,"Apr 19, 2020",0.021,21.000,25.559
India,IND,"Apr 24, 2020",0.03,30.00,23.477
India,IND,"Apr 25, 2020",0.028,28.000,23.666
India,IND,"Apr 26, 2020",0.033,33.000,23.6
India,IND,"Apr 27, 2020",0.029,29.000,23.871
India,IND,"Apr 28, 2020",0.037,37.000,24.35
India,IND,"Apr 29, 2020",0.039,39.000,24.6
India,IND,"Apr 30, 2020",0.043,43.000,25.12
India,IND,"May 1, 2020",0.053,53.000,25.758
India,IND,"May 2, 2020",0.053,53.000,26.151
India,IND,"May 3, 2020",0.051,51.000,26.174
India,IND,"May 4, 2020",0.044,44.000,26.032
India,IND,"May 5, 2020",0.061,61.000,25.67
India,IND,"May 6, 2020",0.061,61.000,25.85
India,IND,"May 7, 2020",0.058,58.000,25.635
India,IND,"May 8, 2020",0.058,58.000,25.519
