tpm_tpc
NTPM,TPCC
34.000,8.273
34.000,8.648
36.000,9.128
67.000,10.037
35.000,10.022
46.000,10.879
49.000,11.191
51.000,11.641
39.000,11.567
41.000,11.798
45.000,12.123
58.000,12.525
57.000,12.755
63.000,13.045
61.000,13.849
55.000,13.248
44.000,13.778
38.000,13.434
54.000,13.626
63.000,13.292
216.000,52.692
315.000,53.166
340.00,53.621
422.000,54.55
322.000,54.998
373.000,55.763
239.000,56.279
321.000,57.282
171.000,57.57
192.000,57.883
452.000,60.263
587.000,62.224
568.000,63.923
421.000,65.296
318.000,66.391
494.000,68.067
558.000,70.132
616.000,72.352
466.000,73.913
478.000,75.556
416.000,77.024
534.000,78.911
538.000,80.797
754.000,83.552
989.000,87.085
891.000,90.377
844.000,93.337
671.000,95.606
570.00,97.4
937.000,100.548
1329.000,105.098
1.000,75.267
1.000,67.97
1.000,53.122
3.000,47.169
3.000,44.74
15.000,30.093
8.000,27.55
7.000,26.536
8.000,24.851
9.000,25.789
10.00,24.628
12.000,25.272
12.000,25.161
13.000,24.087
12.000,23.426
16.000,23.771
20.00,23.631
22.000,24.008
21.000,24.471
23.000,25.033
27.000,25.881
21.000,25.559
30.00,23.477
28.000,23.666
33.000,23.6
29.000,23.871
37.000,24.35
39.000,24.6
43.000,25.12
53.000,25.758
53.000,26.151
51.000,26.174
44.000,26.032
61.000,25.67
61.000,25.85
58.000,25.635
58.000,25.519
